"Seitenname","Likes_aktuell","Datum_aktuell","Likes_vorherig","Datum_vorherig","Absolute_Veraenderung","Prozentuale_Veraenderung","Veraenderung_Text"
"CDU Stadt Hannover",1780,"2026-04-06",1781,"2026-03-30",-1,-0.06,"-1"
"CDU Fraktion Hannover",815,"2026-04-06",814,"2026-03-30",1,0.12,"+1"
"SPD Stadt Hannover",3283,"2026-04-06",3282,"2026-03-30",1,0.03,"+1"
"SPD Fraktion Hannover",2700,"2026-04-06",2697,"2026-03-30",3,0.11,"+3"
"Grüne Stadt Hannover",3708,"2026-04-06",3708,"2026-03-30",0,0,"0"
"Grüne Fraktion Hannover",1293,"2026-04-06",1292,"2026-03-30",1,0.08,"+1"
"Grüne Kandidat Hannover",1293,"2026-04-06",1292,"2026-03-30",1,0.08,"+1"
"FDP Stadt Hannover",742,"2026-04-06",743,"2026-03-30",-1,-0.13,"-1"
"AfD Stadt Hannover",9181,"2026-04-06",9184,"2026-03-30",-3,-0.03,"-3"
"AfD Fraktion Hannover",3592,"2026-04-06",3590,"2026-03-30",2,0.06,"+2"
"Volt Stadt Hannover",527,"2026-04-06",527,"2026-03-30",0,0,"0"
"Linke Stadt Hannover",1192,"2026-04-06",1192,"2026-03-30",0,0,"0"
"Linke Fraktion Hannover",807,"2026-04-06",805,"2026-03-30",2,0.25,"+2"
"Piraten Stadt Hannover",518,"2026-04-06",518,"2026-03-30",0,0,"0"
"Die Hannoveraner Stadt Hannover",1192,"2026-04-06",NA,"2026-03-30",1192,100,"0"
"Die PARTEI Stadt Hannover",5577,"2026-04-06",5581,"2026-03-30",-4,-0.07,"-4"
"Freie Wähler Stadt Hannover",190,"2026-04-06",191,"2026-03-30",-1,-0.52,"-1"
"CDU Stadt Braunschweig",1067,"2026-04-06",NA,NA,1067,100,"0"
"CDU Fraktion Braunschweig",1296,"2026-04-06",NA,NA,1296,100,"0"
"SPD Stadt Braunschweig",1598,"2026-04-06",NA,NA,1598,100,"0"
"SPD Fraktion Braunschweig",663,"2026-04-06",NA,NA,663,100,"0"
"SPD Kandidat Braunschweig",1077,"2026-04-06",NA,NA,1077,100,"0"
"Grüne Stadt Braunschweig",1048,"2026-04-06",NA,NA,1048,100,"0"
"FDP Stadt Braunschweig",865,"2026-04-06",NA,NA,865,100,"0"
"AfD Fraktion Braunschweig",3178,"2026-04-06",NA,NA,3178,100,"0"
"Volt Stadt Braunschweig",512,"2026-04-06",NA,NA,512,100,"0"
"Linke Stadt Braunschweig",1194,"2026-04-06",NA,NA,1194,100,"0"
"BIBS Stadt Braunschweig",NA,"2026-04-06",NA,NA,NA,100,"0"
"Die PARTEI Stadt Braunschweig",2455,"2026-04-06",NA,NA,2455,100,"0"
